iso3,country_name,evidence_class,component_name,raw_variable_name,raw_value,raw_unit,standardized_score,transform,direction,weight,source_id,source_url,source_year,missing_flag,imputation_rule
DEU,Germany,data-center footprint,osm_strict_data_center_count,osm_strict_data_center_count,290.0,count,0.7747085908117003,fillna->0; log1p min-max normalized,higher=stronger,0.1,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
DEU,Germany,direct measured AI load gate,measured_ai_load_available,measured_ai_load_available,False,binary,0.0,boolean identity,higher=stronger,0.0,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,no_imputation_boolean_gate
DEU,Germany,hyperscale MW,accelerator_count_mixed_for_score,accelerator_count_mixed_for_score,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
DEU,Germany,hyperscale MW,countable_project_capacity_mw,countable_project_capacity_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.25,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
DEU,Germany,hyperscale MW,hyperscale_project_row_count,hyperscale_project_row_count,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
DEU,Germany,public load/capacity,load_capacity_proxy_mw,load_capacity_proxy_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
DEU,Germany,public load/capacity,public_load_envelope_twh_mid,public_load_envelope_twh_mid,0.0,TWh,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
ESP,Spain,AI cluster evidence,epoch_h100_equiv_sum,epoch_h100_equiv_sum,4480.000000065971,H100-equivalent count,0.5988556535109215,fillna->0; log1p min-max normalized,higher=stronger,0.05,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
ESP,Spain,AI cluster evidence,epoch_power_mw_sum,epoch_power_mw_sum,6.5065728,MW,0.2648602567954277,fillna->0; log1p min-max normalized,higher=stronger,0.05,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
ESP,Spain,capacity prior,ai_accelerator_region_count,ai_accelerator_region_count,2.0,count,0.34568712404340535,fillna->0; log1p min-max normalized,higher=stronger,0.2,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
ESP,Spain,capacity prior,ai_compute_capacity_score,ai_compute_capacity_score,9.468920818146582,score,0.08691954867206311,fillna->0; linear min-max normalized,higher=stronger,0.35,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
ESP,Spain,capacity prior,cloud_region_count,cloud_region_count,3,count,0.23540891336663824,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
ESP,Spain,capacity prior,frontier_accelerator_region_count,frontier_accelerator_region_count,1.0,count,0.26264953503719357,fillna->0; log1p min-max normalized,higher=stronger,0.2,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
ESP,Spain,cloud GPU regions,cloud_gpu_region_evidence_count,cloud_gpu_region_evidence_count,2.0,count,0.34568712404340535,fillna->0; log1p min-max normalized,higher=stronger,0.1,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
ESP,Spain,data-center footprint,osm_strict_data_center_count,osm_strict_data_center_count,30.0,count,0.4689208181465823,fillna->0; log1p min-max normalized,higher=stronger,0.1,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
ESP,Spain,direct measured AI load gate,measured_ai_load_available,measured_ai_load_available,False,binary,0.0,boolean identity,higher=stronger,0.0,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,no_imputation_boolean_gate
ESP,Spain,hyperscale MW,accelerator_count_mixed_for_score,accelerator_count_mixed_for_score,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
ESP,Spain,hyperscale MW,countable_project_capacity_mw,countable_project_capacity_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.25,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
ESP,Spain,hyperscale MW,hyperscale_project_row_count,hyperscale_project_row_count,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
ESP,Spain,public load/capacity,load_capacity_proxy_mw,load_capacity_proxy_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
ESP,Spain,public load/capacity,public_load_envelope_twh_mid,public_load_envelope_twh_mid,0.0,TWh,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FIN,Finland,AI cluster evidence,epoch_h100_equiv_sum,epoch_h100_equiv_sum,11845.566447875275,H100-equivalent count,0.6681028196359206,fillna->0; log1p min-max normalized,higher=stronger,0.05,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FIN,Finland,AI cluster evidence,epoch_power_mw_sum,epoch_power_mw_sum,26.5569048,MW,0.4357341016969755,fillna->0; log1p min-max normalized,higher=stronger,0.05,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FIN,Finland,capacity prior,ai_accelerator_region_count,ai_accelerator_region_count,1.0,count,0.21810429198553155,fillna->0; log1p min-max normalized,higher=stronger,0.2,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FIN,Finland,capacity prior,ai_compute_capacity_score,ai_compute_capacity_score,5.455022098830843,score,0.04356256695965853,fillna->0; linear min-max normalized,higher=stronger,0.35,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FIN,Finland,capacity prior,cloud_region_count,cloud_region_count,1,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FIN,Finland,capacity prior,frontier_accelerator_region_count,frontier_accelerator_region_count,1.0,count,0.26264953503719357,fillna->0; log1p min-max normalized,higher=stronger,0.2,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FIN,Finland,cloud GPU regions,cloud_gpu_region_evidence_count,cloud_gpu_region_evidence_count,1.0,count,0.21810429198553155,fillna->0; log1p min-max normalized,higher=stronger,0.1,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FIN,Finland,data-center footprint,osm_strict_data_center_count,osm_strict_data_center_count,27.0,count,0.4550220988308423,fillna->0; log1p min-max normalized,higher=stronger,0.1,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FIN,Finland,direct measured AI load gate,measured_ai_load_available,measured_ai_load_available,False,binary,0.0,boolean identity,higher=stronger,0.0,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,no_imputation_boolean_gate
FIN,Finland,hyperscale MW,accelerator_count_mixed_for_score,accelerator_count_mixed_for_score,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
